SampleName,Facility,Sample Date,Age (Days),Experiment (e.g. Myco),Treatment,Diet,Tank #,Sex,Weight (mg),Length (mm),Width (mm),Body Condition,Pathology Results,Myco Dose,Myco Severity Score,C=coelom,O=ovary,K=kidney,A.F. Lumen Colonization,Notes
DSF631,OSU,5/15/20,214,15 wpe M. chelonae/ 7 mo.,exposed/dose 2,watts,W12,M,NA,NA,NA,NA,negative,1.0x10^5,0,0,0,0,0,
DSF634,OSU,5/15/20,214,15 wpe M. chelonae/ 7 mo.,exposed/dose 2,zirc,Z04,M,NA,NA,NA,NA,lumen only,1.0x10^5,0,0,0,0,1,Assessed female visually
DSF635,OSU,5/15/20,214,15 wpe M. chelonae/ 7 mo.,exposed/dose 2,zirc,Z04,F,NA,NA,NA,NA,positive,1.0x10^5,3,0,1,0,0,
DSF636,OSU,5/15/20,214,15 wpe M. chelonae/ 7 mo.,exposed/dose 2,zirc,Z04,F,NA,NA,NA,NA,positive,1.0x10^5,3,0,1,0,2,Assessed male visually
DSF637,OSU,5/15/20,214,15 wpe M. chelonae/ 7 mo.,exposed/dose 2,zirc,Z04,M,NA,NA,NA,NA,negative,1.0x10^5,0,0,0,0,0,
DSF638,OSU,5/15/20,214,15 wpe M. chelonae/ 7 mo.,exposed/dose 2,zirc,Z04,M,NA,NA,NA,NA,positive,1.0x10^5,1,1,0,0,0,
DSF639,OSU,5/15/20,214,15 wpe M. chelonae/ 7 mo.,exposed/dose 2,gemma,G26,F,NA,NA,NA,NA,positive,1.0x10^5,2,0,1,0,0,
DSF640,OSU,5/15/20,214,15 wpe M. chelonae/ 7 mo.,exposed/dose 2,gemma,G26,M,NA,NA,NA,NA,positive,1.0x10^5,2,0,0,1,1,
DSF641,OSU,5/15/20,214,15 wpe M. chelonae/ 7 mo.,exposed/dose 2,gemma,G26,M,NA,NA,NA,NA,negative,1.0x10^5,0,0,0,0,0,
DSF642,OSU,5/15/20,214,15 wpe M. chelonae/ 7 mo.,exposed/dose 2,gemma,G26,M,NA,NA,NA,NA,negative,1.0x10^5,0,0,0,0,0,
DSF643,OSU,5/15/20,214,15 wpe M. chelonae/ 7 mo.,exposed/dose 2,gemma,G26,M,NA,NA,NA,NA,negative,1.0x10^5,0,0,0,0,0,
DSF644,OSU,5/15/20,214,15 wpe M. chelonae/ 7 mo.,exposed/dose 2,watts,W33,F,NA,NA,NA,NA,negative,1.0x10^5,1,0,1,0,0,
DSF646,OSU,5/15/20,214,15 wpe M. chelonae/ 7 mo.,exposed/dose 2,watts,W33,F,NA,NA,NA,NA,positive,1.0x10^5,2,0,1,0,2,
DSF647,OSU,5/15/20,214,15 wpe M. chelonae/ 7 mo.,exposed/dose 2,watts,W33,M,NA,NA,NA,NA,negative,1.0x10^5,0,0,0,0,0,
DSF650,OSU,5/15/20,214,15 wpe M. chelonae/ 7 mo.,exposed/dose 2,watts,W33,M,NA,NA,NA,NA,negative,1.0x10^5,0,0,0,0,0,
DSF652,OSU,5/15/20,214,15 wpe M. chelonae/ 7 mo.,exposed/dose 2,watts,W33,M,NA,NA,NA,NA,lumen only,1.0x10^5,0,0,0,0,2,
KitBlank,,,,,,,,,,,,,,,,,,,,
PCRBlank3,,,,,,,,,,,,,,,,,,,,
